"id","length","latency"
"t95",266.563493750277,100
"t59",425.959492607426,100
"t82",46.8631070977549,42.1767963879794
"t11",116.024381820088,100
"t97",20.0824732236597,18.0742259012937
"t74",99.1789096884222,89.26101871958
"t5",202.593992071515,100
"t40",421.677186224631,100
"t13",27.0067534035743,24.3060780632169
"t46",226.365287435514,100
"t70",237.137020135623,100
"id","length","latency"
"t17",48.3455403038473,43.5109862734626
"t82",30.9727858299076,27.8755072469168
"t18",169.541863831951,100
"t45",173.133823303933,100
"t75",428.984555765249,100
"t47",99.4860169572194,89.5374152614974
"t54",352.838218625769,100
"t77",34.9149201522205,31.4234281369984
"t90",3.41220604499927,3.07098544049934
"t57",87.0363236035057,78.3326912431551
"t32",106.116743336941,100
"t72",147.771159547458,100
"t37",169.719791158572,100
"t88",0.601288076190031,0.541159268571027
"t80",39.0196787839527,35.1177109055574
"t94",41.9812814741404,37.7831533267263
"t4",36.5343749260978,32.880937433488
"t50",186.070614455208,100
"t22",17.8753028093074,16.0877725283767
"t31",321.298942667384,100
"t100",135.147183380182,100
"t48",345.879433360815,100
"t55",76.9605350345246,69.2644815310721
"t87",147.811196514159,100
"t49",231.963231059133,100
"t91",43.6439639330047,39.2795675397042
"t6",21.7367181156792,19.5630463041113
"t85",6.1352151861538,5.52***REMOVED***66753842
"t92",11.224188927295,10.1017700345655
"t81",182.742481305818,100
"t68",36.4213917462671,32.7792525716404
"t63",163.175100168115,100
"t64",181.970469559146,100
"t13",32.9446997812224,29.6502298031002
"t99",83.9487646667326,75.5538882000593
"t11",33.9904561431972,30.5914105288775
"t97",15.8287401790335,14.2458661611302
"t96",116.408724710912,100
"t5",40.9423749048378,36.848137414354
"t23",18.92170210821,17.029531897389
"t51",35.7768916736659,32.1992025062993
"t26",32.1374137306211,28.923672357559
"t25",415.539562863636,100
"t56",507.724588627666,100
"t36",176.609669111276,100
"t15",316.7998159827,100
"t69",103.075192152533,100
"t42",285.689711821041,100
"t1",159.082378734777,100
"t29",128.828015279376,100
"id","length","latency"
"t42",1.74020918967238,1.56618827070515
"t16",154.223711038529,100
"t79",21.2779956999063,19.1501961299157
"t86",81.8400260524504,73.6560234472054
"t7",67.7266053198789,60.953944787891
"t18",47.5477384593804,42.7929646134424
"t53",221.620315292926,100
"t32",142.823856265942,100
"t39",635.909055329074,100
"t63",2.40398513531181,2.16358662178063
"t87",176.82499013752,100
"t95",2.57306527845356,2.3157587506082
"t1",3.31896805549604,2.98707124994644
"t64",276.89518635541,100
"t66",146.525739557353,100
"t82",30.5230299280547,27.4707269352492
"t73",146.296798601232,100
"t23",355.443567296825,100
"t78",56.8497752673363,51.1647977406027
"t92",40.1028081293916,36.0925273164525
"t30",379.004888295342,100
"t19",167.353143123195,100
"t28",6.93436216091027,6.24092594481924
"t59",26.0265063964619,23.4238557568157
"t60",58.4488955170439,52.6040059653395
"t8",102.792254645154,100
"t98",50.8202594569759,45.7382335112783
"t68",200.116629848914,100
"t84",95.0362179945134,85.5325961950621
"t56",588.342099287691,100
"t27",33.0669593158657,29.7602633842791
"t88",165.722478269929,100
"t74",78.7005208133646,70.8304687320282
"t10",180.355283598347,100
"t20",72.3553659021043,65.1198293118938
"t4",64.4501853799004,58.0051668419104
"t29",55.841836004568,50.2576524041112
"t96",25.1023672741417,22.5921305467275
"t48",266.94969928012,100
"t17",65.4446428037115,58.9001785233404
"t70",195.491896856371,100
"t36",217.987638120261,100
"t21",305.000101133335,100
"t22",99.2055978407911,89.285038056712
"t97",322.848107767073,100
"t62",31.470185732999,28.3231671596991
"t51",267.052977849787,100
"t45",91.7855416263144,82.606987463683
"t15",302.871555844221,100
"t2",44.4231590008744,39.980843100787
"id","length","latency"
"t20",5.20288106524922,4.68259295872429
"t21",46.7900903283771,42.1110812955394
"t72",37.3556275451112,33.6200647906001
"t94",129.64053376***REMOVED***,100
"t54",69.2410885405408,62.3169796864867
"t98",325.572365864645,100
"t49",85.5323519360501,76.9791167424451
"t7",14.6870466735152,13.2183420061637
"t97",39.6211061224933,35.658995510244
"t63",250.475752580089,100
"t32",39.5733313610795,35.6159982249715
