"id","length","latency"
"t43",67.1024653875842,0
"t20",123.768009121238,0
"t31",81.7760637434004,0
"t54",94.0746851578004,0
"t14",114.376083040833,0
"t19",102.052956756643,0
"t91",90.288844490946,0
"t57",37.2320955168295,0
"t37",99.408831368945,0
"t5",259.315086384853,0
"t50",165.584330775853,0
"t92",79.0096103283809,0
"t70",12.6805415657266,0
"t73",247.834240428113,0
"t95",25.0148302602474,0
"t11",58.48547708007,0
"t27",0.725215643499951,0
"t44",88.9210052499957,0
"t56",397.140593694994,0
"t30",241.04819318018,0
"t7",80.5365220481385,0
"t88",53.5385356606366,0
"t13",62.2542944893764,0
"t63",122.216657252322,0
"t17",115.789178321864,0
"t66",127.699201724791,0
"t4",153.497158664288,0
"t64",71.2759461140172,0
"t85",362.052001575985,0
"t15",256.269832977059,0
"t82",178.741139951081,0
"t25",191.504572071651,0
"t100",201.613145372436,0
"t81",211.029093611332,0
"t52",0.745221311179421,0
"t36",381.975654674169,0
"t1",188.67853913051,0
"t74",234.404232642784,0
"t33",269.989329019778,0
"id","length","latency"
"t83",111.570846916759,0
"t91",132.825460837808,0
"t66",28.5784091215122,0
"t90",12.558403790636,0
"t50",25.2548903547138,0
"t52",47.3351265899676,0
"t99",32.5266446536084,0
"t96",270.471635581921,0
"t8",89.6458303113277,0
"t100",39.8785244274243,0
"t38",25.0526922722984,0
"t55",124.300971956823,0
"t88",2.81773271416205,0
"t21",11.8234044366654,0
"t10",23.8951676034699,0
"t45",29.967924878556,0
"t39",69.6020120318221,0
"t14",119.856459653126,0
"t58",36.7490129496655,0
"t54",7.71813587285033,0
"t15",66.3747206419803,0
"t22",20.4457551493051,0
"t20",164.86859455493,0
"t79",150.686947394178,0
"t56",54.9187957271174,0
"t29",98.4585794173113,0
"t19",70.5727315331419,0
"t23",164.840438663096,0
"t16",31.615583688646,0
"t51",37.1361334284843,0
"t71",181.187545189245,0
"t93",126.032340048024,0
"t12",104.350400655546,0
"t24",407.795175367841,0
"t86",116.507996245683,0
"t32",398.211980909498,0
"t80",52.8494123424393,0
"t77",28.833517015471,0
"t31",185.189019783365,0
"t3",157.58449569382,0
"t33",84.4969011812382,0
"t92",58.9317873573877,0
"t57",184.335571139442,0
"t7",16.9292042454554,0
"t59",425.959492607426,0
"t97",20.0824732236597,0
"t35",94.5040927189107,0
"t74",99.1789096884222,0
"t13",27.0067534035743,0
"t46",226.365287435514,0
"id","length","latency"
"t82",30.9727858299076,0
"t18",169.541863831951,0
"t45",173.133823303933,0
"t75",428.984555765249,0
"t24",196.140672379674,0
"t77",34.9149201522205,0
"t90",3.41220604499927,0
"t57",87.0363236035057,0
"t32",106.116743336941,0
"t72",147.771159547458,0
"t37",169.719791158572,0
"t88",0.601288076190031,0
"t80",39.0196787839527,0
"t94",41.9812814741404,0
"t4",36.5343749260978,0
"t50",186.070614455208,0
"t22",17.8753028093074,0
"t31",321.298942667384,0
"t27",62.6103679343032,0
"t62",115.551190522512,0
"t48",345.879433360815,0
"t55",76.9605350345246,0
"t87",147.811196514159,0
"t49",231.963231059133,0
"t91",43.6439639330047,0
"t53",372.6673746842,0
"t6",21.7367181156792,0
"t92",11.224188927295,0
"t20",63.5131934591809,0
"t68",36.4213917462671,0
"t63",163.175100168115,0
"t64",181.970469559146,0
"t13",32.9446997812224,0
"t99",83.9487646667326,0
"t33",333.666327967897,0
"t35",168.439358540952,0
"t97",15.8287401790335,0
"t96",116.408724710912,0
"t52",133.59505941376,0
"t51",35.7768916736659,0
"t26",32.1374137306211,0
